iid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100416118,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0
100416293,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,2.0
100416342,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100416447,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0
100416570,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,2.0,3.0,4.0
100418085,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0
100418339,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,5.0
100418452,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0
100418520,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
100419063,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,1.0,2.0,1.0
100419103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0
100419262,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0
100419722,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0
100419921,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0
100420045,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100420173,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0
100420178,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0
100421124,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0
100421321,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0
100421506,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0
100421524,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0
100421763,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0
