,iid
2025,100331730
2026,100332196
2027,100332676
2028,100333250
2029,100334512
2030,100335940
2031,100335996
2032,100336360
2033,100336776
2034,100337470
2035,100337806
2037,100338014
2038,100338114
2040,100338930
2041,100339264
2042,100339576
2044,100341560
2045,100341648
2046,100341690
2047,100341706
2048,100341998
2049,100342488
2050,100342942
2052,100343874
2053,100344124
2054,100344474
2055,100345427
2056,100345567
2058,100346471
2059,100346743
2060,100347259
2062,100347353
2063,100347809
2064,100348269
2065,100348939
2066,100349675
2067,100350355
2068,100351205
2069,100351571
2070,100351951
2071,100352609
2072,100352723
2074,100353761
2075,100353821
2076,100353981
2077,100354177
2078,100354799
2079,100354959
2080,100355043
2081,100355325
2082,100355391
2083,100356297
2084,100356939
2085,100357001
2086,100357033
2087,100357367
2089,100358153
2090,100359359
2091,100359667
2092,100360041
2093,100360887
2094,100361311
2095,100361399
2096,100361629
2097,100362583
2099,100363707
2100,100364001
2101,100364191
2102,100364275
2103,100364489
2104,100365129
2105,100365707
2106,100366369
2107,100366385
2108,100366483
2109,100366707
2110,100367047
2111,100367671
2112,100367951
2114,100369597
2115,100369649
2116,100369681
2117,100370835
2118,100370861
2119,100371339
2120,100371775
2121,100371879
2122,100372143
2123,100372373
2124,100372389
2125,100372839
2127,100376849
2128,100405463
2129,100405468
2130,100405473
2131,100405488
2132,100405497
2133,100405502
2135,100405511
2136,100405515
2137,100405524
2138,100405528
2139,100405533
2140,100405541
2141,100405549
2142,100405553
2143,100405568
2144,100405573
2145,100405577
2146,100405581
2147,100405585
2148,100405604
2149,100405608
2150,100405613
2151,100405622
2152,100405631
2153,100405635
2154,100405644
2155,100405648
2156,100405653
2157,100405657
2158,100405666
2159,100405670
2160,100405674
2161,100405678
2162,100405691
2163,100405695
2164,100405699
2166,100405719
2167,100405724
2168,100405729
2169,100405734
2170,100405739
2171,100405744
2176,100405793
2178,100405811
2179,100405829
2180,100405841
2181,100405845
2182,100405854
2183,100405859
2185,100405945
2186,100405955
2188,100405981
2189,100406013
2190,100406056
2191,100406061
2192,100406088
2194,100406134
2195,100406198
2196,100406223
2197,100406232
2198,100406237
2199,100406274
2201,100406298
2202,100406330
2204,100406380
2205,100406420
2206,100406424
2207,100406489
2208,100406519
2210,100406528
2211,100406533
2212,100406543
2213,100406558
2214,100406563
2215,100406568
2216,100406573
2219,100406727
2220,100406742
2221,100406747
2222,100406765
2223,100406770
2224,100406788
2225,100406808
2226,100406823
2227,100406837
2228,100406842
2229,100406859
2230,100406905
2231,100406915
2232,100406920
2233,100406938
2234,100406947
2235,100406974
2236,100406978
2237,100407016
2238,100407021
2244,100407244
2245,100407274
2246,100407283
2247,100407288
2248,100407301
2249,100407310
2250,100407350
2251,100407360
2253,100407403
2255,100407439
2256,100407454
2257,100407531
2258,100407550
2260,100407679
2261,100407759
2262,100407780
2263,100407808
2264,100407839
2265,100407873
2266,100407882
2267,100407891
2268,100407920
2270,100407954
2271,100408011
2272,100408029
2273,100408070
2274,100408115
2275,100408120
2276,100408143
2277,100408197
2278,100408202
2279,100408211
2280,100408242
2281,100408269
2282,100408278
2283,100408342
2284,100408386
2285,100408414
2287,100408434
2288,100408439
2289,100408444
2290,100408459
2291,100408483
2292,100408493
2293,100408503
2294,100408508
2296,100408571
2297,100408601
2298,100408674
2302,100408775
2304,100408800
2305,100408822
2307,100408878
2308,100408925
2309,100408939
2310,100408982
2312,100409018
2313,100409033
2314,100409038
2315,100409043
2316,100409053
2317,100409058
2318,100409063
2319,100409067
2321,100409085
2322,100409157
2323,100409181
2324,100409211
2325,100409226
2326,100409250
2327,100409273
2328,100409283
2329,100409292
2330,100409356
2331,100409452
2332,100409465
2333,100409562
2334,100409581
2335,100409604
2336,100409751
2337,100409760
2338,100409775
2340,100409837
2341,100409846
2342,100409851
2343,100409870
2344,100409879
2346,100409953
2347,100409966
2348,100409993
2349,100410066
2350,100410081
2351,100410086
2352,100410129
